Speed,Heading,Acc X,Acc Y,Acc Z,gyro_x,gyro_y,gyro_z,outputx,outputy,outputz,outputgx,outputgy,outputgz,outputspeed
0,331,-0.038599998,-0.038799997,0.0766,0.000366519,-0.002042035,0.000663225,-0.044137264,-0.036441281,0.068891081,0.000627925,-0.00087419,0.000317706,-6.72E-09
0,331,-0.0012,-0.0085,0.0712,-0.000453786,0.00827286,0.003839724,-0.042945882,-0.035176404,0.066401217,0.000586735,-0.000777341,0.000322347,-9.16E-09
0,331,-0.0297,-0.0083,0.039899997,-0.000453786,-0.000541052,-0.003438299,-0.041748292,-0.03390211,0.063916977,0.000546212,-0.000679238,0.000324521,-1.17E-08
0,331,-0.0002,0.0118,0.0262,-0.002775073,-0.002181662,0.000820305,-0.040545737,-0.032620532,0.061443615,0.000506414,-0.000580129,0.000324109,-1.44E-08
0,331,-0.0191,-0.0076,0.024999999,-0.000750492,0.005759587,0.006091199,-0.03933942,-0.031333788,0.058986377,0.000467396,-0.00048027,0.000320994,-1.72E-08
0,331,-0.0107,-0.0073,0.023699999,0.000977384,0.00015708,-0.00010472,-0.0381305,-0.030043969,0.056550475,0.000429212,-0.000379922,0.00031507,-2.01E-08
0,331,-0.0109,-0.0166,0.0692,0.002059489,0.005811947,-0.002199115,-0.036920087,-0.028753117,0.054141058,0.000391913,-0.000279349,0.000306232,-2.31E-08
0,331,-0.0106,0.0128,0.019299999,0.000645772,-0.002443461,0.001710423,-0.035709236,-0.027463222,0.051763187,0.000355547,-0.000178821,0.000294387,-2.62E-08
0,331,0.0455,0.0131,0.0189,0.000366519,0.002111848,0.000366519,-0.034498947,-0.026176201,0.049421817,0.000320162,-7.86E-05,0.000279445,-2.94E-08
0,331,-0.089499995,-0.045599997,0.047,0.003874631,-0.00296706,0.008621926,-0.033290165,-0.0248939,0.047121769,0.0002858,2.10E-05,0.000261329,-3.27E-08
0,331,-0.023899999,0.0035,0.0178,-0.000959931,0.003892084,-6.98E-05,-0.032083779,-0.023618075,0.044867712,0.000252505,0.000119808,0.000239967,-3.61E-08
0,331,-0.0815,-0.0061,0.025999999,0.001850049,-0.002722714,0.003089233,-0.030880631,-0.022350395,0.042664141,0.000220315,0.000217468,0.000215296,-3.96E-08
0,331,-0.0029,-0.015899999,0.0257,-0.00137881,-0.001954769,0.001850049,-0.029681513,-0.021092431,0.040515363,0.000189269,0.000313742,0.000187264,-4.31E-08
0,331,-0.0029,-0.0058,0.0046,0.000942478,-0.000767945,0.002687807,-0.028487173,-0.019845652,0.038425475,0.000159401,0.000408366,0.000155824,-4.66E-08
0,331,-0.0311,-0.0057,0.032899998,0.002460914,3.49E-05,-0.001204277,-0.027298315,-0.018611422,0.036398349,0.000130744,0.000501082,0.000120941,-5.03E-08
0,331,-0.030599998,-0.0253,0.0324,-0.00010472,-0.0029147,0.002844887,-0.026115602,-0.017390997,0.034437616,0.000103328,0.000591637,8.26E-05,-5.39E-08
0,331,-0.0106,0.0043,0.0008,0.001500983,-0.001745329,0.000715585,-0.024939659,-0.016185522,0.032546656,7.72E-05,0.000679784,4.07E-05,-5.75E-08
0,331,-0.0896,0.0438,-0.0495,-0.006632251,0.007504916,0.000663225,-0.023771076,-0.014996028,0.030728576,5.23E-05,0.000765284,-4.61E-06,-6.12E-08
0,331,-0.052899998,0.0733,-0.0495,0.002007129,0.011903145,-0.007644542,-0.022610408,-0.013823433,0.028986209,2.88E-05,0.000847906,-5.35E-05,-6.48E-08
0,331,-0.050499998,-0.0738,0.019,-0.00275762,0.010890855,-0.009704031,-0.021458181,-0.012668539,0.027322096,6.56E-06,0.000927433,-0.000105838,-6.84E-08
0,331,0.1928,0.0339,-0.0088,-0.000244346,-0.003752458,0.006597345,-0.020314888,-0.011532038,0.025738483,-1.43E-05,0.001003655,-0.000161712,-7.20E-08
0,331,-0.0011,0.024,-0.0195,0.001658063,0.003752458,-0.003455752,-0.019180993,-0.010414517,0.024237319,-3.39E-05,0.001076376,-0.000221078,-7.55E-08
0,331,-0.078099996,-0.0053,0.0095,-0.002740167,0.003892084,-0.001745329,-0.018056929,-0.009316461,0.022820252,-5.20E-05,0.001145412,-0.000283919,-7.89E-08
0,331,0.03,0.0044,0.0287,-0.000663225,0.004921828,-0.005061455,-0.016943103,-0.008238263,0.021488634,-6.89E-05,0.001210593,-0.000350211,-8.23E-08
0,331,-0.0449,0.0042,0.0189,0.000401426,0.000331613,0.003700098,-0.015839906,-0.007180231,0.020243522,-8.43E-05,0.001271758,-0.000419925,-8.55E-08
0,331,0.04,0.0144,0.0179,-0.000767945,0.000383972,-0.003839724,-0.014747719,-0.006142599,0.019085682,-9.85E-05,0.001328761,-0.000493026,-8.85E-08
0,331,-0.0669,-0.024699999,0.0367,0.001448623,0.000122173,-0.003036873,-0.013666924,-0.005125537,0.018015595,-0.000111264,0.001381466,-0.000569469,-9.14E-08
0,331,0.039499998,0.0049,0.0357,-0.000122173,-0.000383972,0.001692969,-0.012597908,-0.004129158,0.017033459,-0.000122746,0.00142975,-0.000649206,-9.42E-08
0,331,0.0099,-0.0243,0.024699999,-0.00153589,0.009250245,-0.01144936,-0.011541079,-0.003153537,0.016139197,-0.000132926,0.0014735,-0.000732179,-9.67E-08
0,331,0.0328,0.0245,-0.0046,0.003577925,-0.000942478,0.007993608,-0.010496868,-0.002198715,0.015332454,-0.000141824,0.001512616,-0.000818322,-9.90E-08
0,331,0.0018,-0.034199998,0.0049,0.000349066,0.003577925,-0.00413643,-0.009465748,-0.001264713,0.014612606,-0.000149465,0.001547005,-0.00090756,-1.01E-07
0,331,-0.0747,-0.014599999,-0.0051,-0.000122173,0.001134464,-0.003560472,-0.008448239,-0.000351545,0.013978759,-0.000155874,0.00157659,-0.000999807,-1.03E-07
0,331,0.033099998,-0.0046,0.0029,-0.00148353,0.000890118,0.002199115,-0.007444928,0.000540773,0.013429753,-0.000161079,0.001601298,-0.001094968,-1.04E-07
0,331,0.0027,0.0053,-0.0072,-0.000942478,-0.005445427,0.003787365,-0.006456478,0.001412215,0.012964164,-0.000165114,0.00162107,-0.001192936,-1.05E-07
0,331,0.0098,0.0154,-0.0278,0,-0.00429351,0.001954769,-0.005483644,0.002262733,0.012580313,-0.000168013,0.001635854,-0.001293591,-1.06E-07
0,331,-0.049,-0.0137,0.0001,0.007557276,-0.003560472,0.002356194,-0.004527288,0.003092247,0.012276268,-0.000169814,0.001645607,-0.001396799,-1.06E-07
0,331,0.029399998,0.0058,-0.0095,-0.001117011,0.002007129,-0.002129302,-0.003588391,0.003900639,0.012049849,-0.000170559,0.001650295,-0.001502414,-1.06E-07
0,331,-0.0975,-0.0624,0.0762,-0.00153589,-0.000139626,-0.006091199,-0.002668066,0.004687742,0.011898642,-0.00017029,0.001649893,-0.001610275,-1.06E-07
0,331,-0.0466,0.0061,-0.0032,-0.001884956,0.001204277,0.001884956,-0.001767577,0.005453332,0.011820006,-0.000169056,0.001644384,-0.001720207,-1.05E-07
0,331,-0.0268,-0.0133,0.0646,0.001797689,-0.003316126,0.004974188,-0.000888347,0.006197121,0.011811081,-0.000166909,0.001633764,-0.001832021,-1.04E-07
0,331,-0.0572,0.0065,-0.0052,-0.003612832,0.005567601,-0.000401426,-3.20E-05,0.006918748,0.011868797,-0.000163903,0.001618037,-0.001945512,-1.02E-07
0,331,-0.0565,-0.022699999,-0.0457,-0.000715585,-0.003961898,-0.002897247,0.000799794,0.007617779,0.011989881,-0.000160097,0.001597222,-0.002060462,-9.91E-08
0,331,-0.0187,0.0265,-0.095699996,0.000122173,-0.004520403,-0.001570796,0.001604988,0.008293701,0.012170865,-0.000155556,0.001571346,-0.002176638,-9.60E-08
0,331,-0.1734,-0.1007,0.0492,-0.007679449,0.007819075,-0.009058259,0.002381486,0.008945917,0.012408095,-0.000150349,0.001540455,-0.002293793,-9.24E-08
0,331,0.1171,0.104899995,-0.0554,-0.011065387,0.006614798,-0.010332349,0.003126979,0.009573749,0.012697737,-0.000144548,0.001504605,-0.002411665,-8.81E-08
0,331,-0.241,-0.1008,0.1671,0.007644542,-0.006754424,0.011990412,0.003838986,0.01017643,0.013035792,-0.000138231,0.001463872,-0.002529979,-8.33E-08
0,331,0.11009999,0.065799996,-0.086899996,-0.005305801,0.013473942,-0.011536626,0.004514863,0.010753112,0.013418114,-0.000131479,0.001418346,-0.002648446,-7.77E-08
0,331,-0.1697,-0.0519,-0.019299999,0.004572763,-0.007958702,0.009651671,0.005151815,0.011302863,0.013840418,-0.000124379,0.001368138,-0.002766763,-7.15E-08
0,331,-0.14299999,-0.1304,0.0404,-0.001117011,0.011135201,0.006056292,0.005746916,0.011824669,0.014298298,-0.000117017,0.001313377,-0.002884614,-6.46E-08
0,331,0.17009999,0.0067,0.031799998,0.001797689,0.023666665,-0.009773844,0.006297129,0.012317441,0.014787239,-0.000109484,0.001254212,-0.003001667,-5.70E-08
0,331,0.0131,-0.0129,0.091199994,0.004206243,-0.01574287,0.011728613,0.006799329,0.012780024,0.015302635,-0.00010187,0.001190815,-0.00311758,-4.86E-08
0,331,-0.39909998,-0.2383,0.1689,0.002844887,0.032096606,-0.01691224,0.007250336,0.013211201,0.015839797,-9.43E-05,0.001123376,-0.003231996,-3.96E-08
0,331,0.1813,0.0067,0.1431,-0.006283185,0.033004176,-0.020472713,0.007646944,0.013609716,0.016393974,-8.68E-05,0.001052109,-0.003344547,-2.97E-08
0,331,0.3964,0.301,-0.1811,-0.007435103,0.011676253,0.017837266,0.007985954,0.013974294,0.016960351,-7.95E-05,0.000977248,-0.003454856,-1.91E-08
0,331,-0.41779998,0.0169,-0.3143,0.007801622,0.002495821,0.018797196,0.008264209,0.01430366,0.017534057,-7.24E-05,0.000899044,-0.003562534,-7.76E-09
0,331,-0.20189999,0.0079,0.0569,0.006946411,-0.01150172,0.001500983,0.008478634,0.014596569,0.018110169,-6.58E-05,0.000817766,-0.003667184,4.36E-09
0,331,0.2579,0.0953,-0.34849998,-0.013002703,-0.051434852,-0.021013765,0.008626268,0.014851822,0.018683714,-5.96E-05,0.000733692,-0.003768401,1.73E-08
0,331,0.23249999,0.114999995,-0.0425,-0.000628319,-0.003455752,-0.016109388,0.008704303,0.015068284,0.019249693,-5.40E-05,0.00064711,-0.003865776,3.09E-08
0,331,-0.116399996,-0.0223,0.0641,0.004921828,0.000523599,0.003316126,0.008710125,0.015244898,0.019803109,-4.90E-05,0.000558314,-0.003958891,4.53E-08
0,331,0.0962,0.0267,0.0063,-0.004153884,0.002076942,-0.004694936,0.008641356,0.015380688,0.020339002,-4.47E-05,0.000467599,-0.004047331,6.05E-08
0,331,-0.0817,0.066,-0.1117,-0.006597345,-0.004433136,-0.001466077,0.008495884,0.015474775,0.020852498,-4.12E-05,0.000375267,-0.004130678,7.64E-08
0,331,0.0569,-0.0712,0.0843,-0.007941248,-0.014713125,0.002844887,0.008271898,0.015526375,0.021338854,-3.86E-05,0.000281621,-0.004208512,9.30E-08
0,331,-0.2773,-0.0221,0.044499997,0.011815879,-0.012810716,0.012758356,0.007967919,0.015534806,0.021793506,-3.69E-05,0.000186967,-0.004280419,1.10E-07
0,331,-0.3728,-0.090399995,0.5514,0.022933627,0.013997541,0.03387684,0.007582833,0.015499496,0.022212124,-3.62E-05,9.16E-05,-0.004345985,1.28E-07
0,331,0.2899,-0.0222,0.2128,-0.024207717,0.001745329,-0.030665435,0.00711593,0.015419986,0.022590654,-3.66E-05,-4.12E-06,-0.004404804,1.47E-07
0,331,0.36519998,0.3892,-0.607,-0.003159046,-0.019582594,0.017470745,0.006566954,0.015295943,0.022925362,-3.80E-05,-9.99E-05,-0.004456478,1.66E-07
0,331,-0.6252,-0.2672,0.2677,0.022619467,0.015306537,0.016022123,0.005936158,0.015127173,0.023212857,-4.05E-05,-0.000195467,-0.004500623,1.86E-07
0,331,0.7795,-0.2472,0.8369,0.013351769,0.05021312,-0.004625123,0.005224352,0.014913631,0.023450121,-4.42E-05,-0.000290415,-0.004536871,2.06E-07
0,331,0.66889995,0.4384,-0.4509,0.012060225,-0.028431414,0.03673918,0.004432961,0.01465543,0.02363453,-4.91E-05,-0.000384427,-0.004564878,2.27E-07
0,331,-0.27339998,-0.2086,0.19119999,0.016074482,-0.019530235,0.008412487,0.003564057,0.014352857,0.023763865,-5.51E-05,-0.000477153,-0.004584329,2.49E-07
